/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.092121,0.173144,6.198633,2.303235,1.470047,0.938966,0.577141,0.407806,0.235976
0.070243,0.181604,6.170815,2.264305,1.461828,1.009509,0.595680,0.383561,0.203911
0.071910,0.162723,6.054557,2.339056,1.464055,0.919606,0.537906,0.342811,0.216296
0.069413,0.163056,6.055567,2.323710,1.468800,0.900957,0.558986,0.336473,0.234002
0.068584,0.167506,6.100122,2.375372,1.469429,0.911050,0.554861,0.339216,0.213931
0.080851,0.165443,6.010379,2.276189,1.507094,0.902120,0.544135,0.325170,0.209209
0.070923,0.178028,6.173361,2.303303,1.456458,0.928831,0.654512,0.362448,0.218688
0.070647,0.163384,6.014990,2.316971,1.456221,0.908204,0.543618,0.344102,0.211662
0.070852,0.163100,5.984866,2.271990,1.461516,0.905631,0.554347,0.349782,0.207484
0.069693,0.162583,5.945351,2.268111,1.456883,0.914422,0.525678,0.343671,0.204146
0.070611,0.161608,6.045680,2.366886,1.460942,0.903436,0.536918,0.342281,0.202824
0.069763,0.162249,5.966490,2.277988,1.464442,0.900173,0.540725,0.345388,0.205580
0.070021,0.161274,6.006627,2.302492,1.483084,0.908557,0.537022,0.339329,0.204674
0.070753,0.163237,6.103527,2.375521,1.495228,0.922173,0.525901,0.343314,0.207201
0.076084,0.167595,6.231538,2.333288,1.464234,0.979068,0.606441,0.366552,0.238104
0.071226,0.169149,6.380181,2.415629,1.498704,0.972830,0.627368,0.384619,0.240410
0.071011,0.162557,6.187908,2.323594,1.582672,0.974919,0.518313,0.345926,0.208744
0.069114,0.166889,6.159759,2.286817,1.529612,0.915113,0.588330,0.372378,0.231320
0.070509,0.183990,6.206719,2.353962,1.501378,0.963040,0.585788,0.341087,0.206783
0.071398,0.161077,6.060249,2.322807,1.464447,0.963428,0.527711,0.330997,0.218186
0.068878,0.165221,6.207940,2.303550,1.579122,0.982472,0.545921,0.350955,0.211630
0.061472,0.162426,6.133638,2.343363,1.512174,0.974914,0.518392,0.350739,0.209981
0.073291,0.150777,6.351195,2.374693,1.538951,0.989633,0.613889,0.375472,0.234287
0.069620,0.168513,6.282945,2.355497,1.476002,0.963348,0.615687,0.410703,0.223369
0.070786,0.165640,6.230227,2.321949,1.516085,1.031878,0.555692,0.364592,0.203421
0.071612,0.163747,6.290825,2.375905,1.524135,0.984912,0.572328,0.363605,0.234365
0.073501,0.166269,6.154786,2.330627,1.504724,0.944375,0.573722,0.339707,0.221662
0.071190,0.168503,6.270232,2.303410,1.496411,0.951193,0.676789,0.374018,0.228536
0.078198,0.163890,6.329202,2.321815,1.498944,0.953214,0.594145,0.432469,0.286309
0.072413,0.168809,6.147397,2.331106,1.464406,0.929916,0.587501,0.365682,0.227377
0.071203,0.166919,6.379742,2.316816,1.523197,1.045131,0.638531,0.388857,0.228876
0.073461,0.166948,6.138097,2.357541,1.492160,0.932958,0.529088,0.352266,0.233493
0.071010,0.185818,6.348567,2.352240,1.532623,0.969883,0.608478,0.395228,0.233092
0.071205,0.166420,6.266044,2.356483,1.575174,0.971284,0.571759,0.349271,0.204264
0.071325,0.168931,6.334375,2.448442,1.501785,0.951366,0.607527,0.353495,0.231298
0.083700,0.166949,7.011518,2.397009,1.630015,1.314654,0.801338,0.374679,0.242980
0.072287,0.165133,6.367573,2.358025,1.625888,0.996407,0.581992,0.357397,0.210259
0.069213,0.164850,6.226944,2.323974,1.537746,0.973936,0.562725,0.377627,0.216684
